"p","graph","n","sim","method","FDR","FPR","TPR","SHD"
"25","random","500","60","CAM","0.772727272727273","0.0582191780821918","0.625","20"
"25","random","500","60","RFCI","1","0.089041095890411","0","21"
"25","random","500","60","LRpS-GES","1","0.0719178082191781","0","28"
"25","random","500","61","CAM","0.888888888888889","0.0821917808219178","0.375","29"
"25","random","500","61","RFCI","1","0.089041095890411","0","21"
"25","random","500","61","LRpS-GES","1","0.0650684931506849","0","27"
"25","random","500","62","CAM","0.862068965517241","0.0856164383561644","0.5","29"
"25","random","500","62","RFCI","1","0.102739726027397","0","23"
"25","random","500","62","LRpS-GES","1","0.0719178082191781","0","27"
"25","random","500","63","CAM","0.931034482758621","0.0924657534246575","0.25","33"
"25","random","500","63","RFCI","1","0.102739726027397","0","23"
"25","random","500","63","LRpS-GES","1","0.0719178082191781","0","27"
"25","random","500","64","CAM","0.807692307692308","0.0719178082191781","0.625","24"
"25","random","500","64","RFCI","1","0.102739726027397","0","23"
"25","random","500","64","LRpS-GES","1","0.0650684931506849","0","26"
"25","random","500","65","CAM","0.92","0.0787671232876712","0.25","29"
"25","random","500","65","RFCI","1","0.089041095890411","0","21"
"25","random","500","65","LRpS-GES","1","0.0582191780821918","0","25"
"25","random","500","66","CAM","0.84","0.0719178082191781","0.5","25"
"25","random","500","66","RFCI","1","0.102739726027397","0","23"
"25","random","500","66","LRpS-GES","1","0.0684931506849315","0","26"
"25","random","500","67","CAM","0.88","0.0753424657534247","0.375","27"
"25","random","500","67","RFCI","1","0.102739726027397","0","23"
"25","random","500","67","LRpS-GES","1","0.0993150684931507","0","32"
"25","random","500","68","CAM","0.904761904761905","0.0650684931506849","0.25","25"
"25","random","500","68","RFCI","1","0.089041095890411","0","21"
"25","random","500","68","LRpS-GES","1","0.0616438356164384","0","25"
"25","random","500","69","CAM","0.814814814814815","0.0753424657534247","0.625","25"
"25","random","500","69","RFCI","1","0.10958904109589","0","24"
"25","random","500","69","LRpS-GES","1","0.089041095890411","0","31"
"25","random","500","70","CAM","0.8","0.0684931506849315","0.625","23"
"25","random","500","70","RFCI","1","0.089041095890411","0","21"
"25","random","500","70","LRpS-GES","1","0.0616438356164384","0","25"
"25","random","500","71","CAM","0.807692307692308","0.0719178082191781","0.625","24"
"25","random","500","71","RFCI","1","0.089041095890411","0","21"
"25","random","500","71","LRpS-GES","1","0.0719178082191781","0","26"
"25","random","500","72","CAM","0.869565217391304","0.0684931506849315","0.375","25"
"25","random","500","72","RFCI","1","0.089041095890411","0","21"
"25","random","500","72","LRpS-GES","1","0.0684931506849315","0","27"
"25","random","500","73","CAM","0.857142857142857","0.0821917808219178","0.5","28"
"25","random","500","73","RFCI","1","0.0958904109589041","0","22"
"25","random","500","73","LRpS-GES","0.952380952380952","0.0684931506849315","0.125","27"
"25","random","500","74","CAM","0.875","0.0719178082191781","0.375","26"
"25","random","500","74","RFCI","1","0.089041095890411","0","21"
"25","random","500","74","LRpS-GES","1","0.0616438356164384","0","26"
"25","random","500","75","CAM","0.833333333333333","0.0684931506849315","0.5","24"
"25","random","500","75","RFCI","1","0.0821917808219178","0","20"
"25","random","500","75","LRpS-GES","1","0.0582191780821918","0","25"
"25","random","500","76","CAM","0.857142857142857","0.0821917808219178","0.5","28"
"25","random","500","76","RFCI","1","0.102739726027397","0","23"
"25","random","500","76","LRpS-GES","1","0.0684931506849315","0","27"
"25","random","500","77","CAM","0.833333333333333","0.0856164383561644","0.625","28"
"25","random","500","77","RFCI","1","0.0958904109589041","0","22"
"25","random","500","77","LRpS-GES","1","0.0684931506849315","0","26"
"25","random","500","78","CAM","0.827586206896552","0.0821917808219178","0.625","27"
"25","random","500","78","RFCI","1","0.102739726027397","0","23"
"25","random","500","78","LRpS-GES","1","0.0924657534246575","0","31"
"25","random","500","79","CAM","0.888888888888889","0.0821917808219178","0.375","29"
"25","random","500","79","RFCI","1","0.089041095890411","0","21"
"25","random","500","79","LRpS-GES","1","0.0650684931506849","0","24"
"25","random","500","80","CAM","0.84375","0.0924657534246575","0.625","30"
"25","random","500","80","RFCI","1","0.102739726027397","0","23"
"25","random","500","80","LRpS-GES","1","0.0684931506849315","0","27"
"25","random","500","81","CAM","0.84","0.0719178082191781","0.5","25"
"25","random","500","81","RFCI","1","0.102739726027397","0","23"
"25","random","500","81","LRpS-GES","1","0.0719178082191781","0","29"
"25","random","500","82","CAM","0.846153846153846","0.0753424657534247","0.5","26"
"25","random","500","82","RFCI","1","0.0958904109589041","0","22"
"25","random","500","82","LRpS-GES","1","0.0719178082191781","0","27"
"25","random","500","83","CAM","0.838709677419355","0.089041095890411","0.625","29"
"25","random","500","83","RFCI","1","0.102739726027397","0","23"
"25","random","500","83","LRpS-GES","1","0.089041095890411","0","30"
"25","random","500","84","CAM","0.884615384615385","0.0787671232876712","0.375","28"
"25","random","500","84","RFCI","1","0.102739726027397","0","23"
"25","random","500","84","LRpS-GES","1","0.0719178082191781","0","28"
"25","random","500","85","CAM","0.846153846153846","0.0753424657534247","0.5","26"
"25","random","500","85","RFCI","1","0.0958904109589041","0","22"
"25","random","500","85","LRpS-GES","1","0.0821917808219178","0","31"
"25","random","500","86","CAM","0.821428571428571","0.0787671232876712","0.625","26"
"25","random","500","86","RFCI","1","0.102739726027397","0","23"
"25","random","500","86","LRpS-GES","1","0.089041095890411","0","31"
"25","random","500","87","CAM","0.892857142857143","0.0856164383561644","0.375","30"
"25","random","500","87","RFCI","1","0.102739726027397","0","23"
"25","random","500","87","LRpS-GES","1","0.0753424657534247","0","29"
"25","random","500","88","CAM","0.869565217391304","0.0684931506849315","0.375","25"
"25","random","500","88","RFCI","1","0.089041095890411","0","21"
"25","random","500","88","LRpS-GES","1","0.0719178082191781","0","27"
"25","random","500","89","CAM","0.851851851851852","0.0787671232876712","0.5","27"
"25","random","500","89","RFCI","1","0.0958904109589041","0","22"
"25","random","500","89","LRpS-GES","1","0.0650684931506849","0","27"
"25","random","500","90","CAM","0.884615384615385","0.0787671232876712","0.375","28"
"25","random","500","90","RFCI","1","0.089041095890411","0","21"
"25","random","500","90","LRpS-GES","1","0.0650684931506849","0","27"
"25","random","500","91","CAM","0.958333333333333","0.0787671232876712","0.125","30"
"25","random","500","91","RFCI","1","0.0958904109589041","0","22"
"25","random","500","91","LRpS-GES","1","0.0719178082191781","0","26"
"25","random","500","92","CAM","0.846153846153846","0.0753424657534247","0.5","26"
"25","random","500","92","RFCI","1","0.0958904109589041","0","22"
"25","random","500","92","LRpS-GES","1","0.0684931506849315","0","26"
"25","random","500","93","CAM","0.869565217391304","0.0684931506849315","0.375","25"
"25","random","500","93","RFCI","1","0.0958904109589041","0","22"
"25","random","500","93","LRpS-GES","1","0.0684931506849315","0","26"
"25","random","500","94","CAM","0.851851851851852","0.0787671232876712","0.5","27"
"25","random","500","94","RFCI","1","0.089041095890411","0","21"
"25","random","500","94","LRpS-GES","1","0.0684931506849315","0","28"
"25","random","500","95","CAM","0.761904761904762","0.0547945205479452","0.625","19"
"25","random","500","95","RFCI","1","0.0958904109589041","0","22"
"25","random","500","95","LRpS-GES","1","0.0547945205479452","0","24"
"25","random","500","96","CAM","0.818181818181818","0.0616438356164384","0.5","22"
"25","random","500","96","RFCI","1","0.0958904109589041","0","22"
"25","random","500","96","LRpS-GES","1","0.0582191780821918","0","25"
"25","random","500","97","CAM","0.791666666666667","0.0650684931506849","0.625","22"
"25","random","500","97","RFCI","1","0.0958904109589041","0","22"
"25","random","500","97","LRpS-GES","1","0.0719178082191781","0","29"
"25","random","500","98","CAM","0.75","0.0719178082191781","0.875","22"
"25","random","500","98","RFCI","1","0.0821917808219178","0","20"
"25","random","500","98","LRpS-GES","1","0.0616438356164384","0","26"
